phylogroup,unique.CDSs,num.genomes,sd,min,max
5,4525.11,1,99.8575647225749,4425.25243527742,4624.96756472257
5,4814.71,2,174.842803568222,4639.86719643178,4989.55280356822
5,5004,3,212.163411386867,4791.83658861313,5216.16341138687
5,5122.92,4,221.225041050688,4901.69495894931,5344.14504105069
5,5238.27,5,223.27701031081,5014.99298968919,5461.54701031081
5,5330.9,6,221.395459517465,5109.50454048253,5552.29545951747
5,5430.68,7,218.964084504812,5211.71591549519,5649.64408450481
5,5497.35,8,211.548087758655,5285.80191224135,5708.89808775865
5,5560.43,9,215.983690695535,5344.44630930447,5776.41369069554
5,5623.39,10,210.349103524439,5413.04089647556,5833.73910352444
5,5687.2,11,197.229804947417,5489.97019505258,5884.42980494742
5,5744.85,12,186.604826065971,5558.24517393403,5931.45482606597
5,5788.02,13,183.258496020338,5604.76150397966,5971.27849602034
5,5837.43,14,183.563946142025,5653.86605385798,6020.99394614203
5,5897.88,15,179.770464198043,5718.10953580196,6077.65046419804
5,5934.53,16,181.066785770033,5753.46321422997,6115.59678577003
5,5967.15,17,175.548052358517,5791.60194764148,6142.69805235852
5,5992.64,18,176.302112146947,5816.33788785305,6168.94211214695
5,6023.93,19,173.965702819768,5849.96429718023,6197.89570281977
5,6056,20,173.919289303743,5882.08071069626,6229.91928930374
5,6082.35,21,163.510255138183,5918.83974486182,6245.86025513818
5,6114.02,22,161.481398372079,5952.53860162792,6275.50139837208
5,6144.41,23,145.105471567367,5999.30452843263,6289.51547156737
5,6169.31,24,144.604839113183,6024.70516088682,6313.91483911318
5,6193.21,25,141.897907174863,6051.31209282514,6335.10790717486
5,6211.07,26,141.424017147946,6069.64598285205,6352.49401714795
5,6235.74,27,123.181037829725,6112.55896217027,6358.92103782972
5,6252.19,28,125.226477256452,6126.96352274355,6377.41647725645
5,6270.44,29,126.034412488467,6144.40558751153,6396.47441248847
5,6290.29,30,120.264380059563,6170.02561994044,6410.55438005956
5,6306.56,31,112.71509807179,6193.84490192821,6419.27509807179
5,6325.49,32,107.282172542574,6218.20782745743,6432.77217254257
5,6346.48,33,103.514550775349,6242.96544922465,6449.99455077535
